cell_index	species	dataset_id	sample_id	tissue	cell_type	cell_type_coarse
71	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
72	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
73	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
74	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
75	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
76	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Phloem parenchyma	Phloem parenchyma
77	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
78	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
79	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
80	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
81	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
82	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
83	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
84	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
85	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
86	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
87	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
88	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
89	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
90	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
91	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	S phase	S phase
92	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
93	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
94	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
95	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
96	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
97	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
98	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
99	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
100	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
101	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
102	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
103	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
104	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
105	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
106	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
107	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
108	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
109	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
110	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
111	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	S phase	S phase
112	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	S phase	S phase
113	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
114	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
115	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
116	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
117	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
118	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
119	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
120	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
121	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
122	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Phloem parenchyma	Phloem parenchyma
123	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
124	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
125	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
126	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
127	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
128	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
129	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
130	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
131	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
132	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
133	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
134	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
135	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
136	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
137	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
138	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
139	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
140	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
141	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
142	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
143	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
144	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
145	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
146	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	S phase	S phase
147	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
148	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
149	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
150	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
151	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
152	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
153	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
154	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
155	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
156	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Phloem parenchyma	Phloem parenchyma
157	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
158	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
159	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
160	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
161	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
162	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
163	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
164	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
165	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
166	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
167	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	S phase	S phase
168	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
169	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
170	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
171	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
172	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
173	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
174	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
175	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
176	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
177	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
178	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
179	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
180	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
181	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
182	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
183	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
184	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
185	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
186	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
187	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
188	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
189	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
190	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
191	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
192	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
193	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
194	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
195	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
196	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
197	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
198	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
199	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
200	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
201	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
202	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Phloem parenchyma	Phloem parenchyma
203	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
204	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
205	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
206	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	S phase	S phase
207	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
208	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
209	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
210	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
211	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
212	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
213	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
214	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
215	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
216	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
217	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
218	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
219	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
220	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
221	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
222	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
223	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
224	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
225	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
226	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	S phase	S phase
227	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
228	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
229	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Phloem parenchyma	Phloem parenchyma
230	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
231	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
232	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
233	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
234	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
235	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf pavement cell	Leaf pavement cell
236	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
237	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
238	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
239	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
240	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
241	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
242	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
243	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Companion cell	Companion cell
244	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
245	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Xylem	Xylem
246	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
247	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
248	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
249	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
250	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
251	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
252	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
253	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
254	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Mesophyll	Mesophyll
255	Arabidopsis thaliana	scplantdb_CRA002977_1	CRX125602	True leaf	Leaf guard cell	Leaf guard cell
256	Arabidopsis thaliana	scplantdb_CRA002977_2	CRX125603	Vegetative shoot apex	Mesophyll	Mesophyll
257	Arabidopsis thaliana	scplantdb_CRA002977_2	CRX125603	Vegetative shoot apex	Mesophyll	Mesophyll
258	Arabidopsis thaliana	scplantdb_CRA002977_2	CRX125603	Vegetative shoot apex	Shoot system epidermis	Shoot system epidermis
259	Arabidopsis thaliana	scplantdb_CRA002977_2	CRX125603	Vegetative shoot apex	Unknow	Unknow
260	Arabidopsis thaliana	scplantdb_CRA002977_2	CRX125603	Vegetative shoot apex	Vascular tissue	Vascular tissue
261	Arabidopsis thaliana	scplantdb_CRA002977_2	CRX125603	Vegetative shoot apex	Shoot apical meristem	Shoot apical meristem
