source_gene	target_gene	orthogroup_id	source_species	target_species	mapping_evidence
SbiRTX430.01G003800	AT4G22790	OG0006071	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G004000	AT5G51670	OG0011306	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G004100	AT4G00090	OG0010214	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G004200	AT1G50510	OG0010404	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G004300	AT5G42146	OG0008134	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G004400	AT3G03110	OG0004617	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G004400	AT5G17020	OG0004617	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G004600	AT2G46840	OG0018654	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G004700	AT1G65000	OG0012925	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005000	AT3G53010	OG0004978	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005100	AT3G61050	OG0003159	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005200	AT4G11960	OG0002893	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005200	AT4G22890	OG0002893	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005300	AT4G25420	OG0000441	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005300	AT5G07200	OG0000441	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005300	AT5G51810	OG0000441	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005400	AT5G24490	OG0008733	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005500	AT1G09020	OG0003739	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005600	AT1G54580	OG0000444	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005600	AT1G54630	OG0000444	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005600	AT3G05020	OG0000444	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005600	AT4G25050	OG0000444	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005600	AT5G27200	OG0000444	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005700	AT1G48050	OG0007728	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005800	AT1G15370	OG0009002	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G005900	AT5G46580	OG0011260	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G006300	AT1G45170	OG0004199	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G006300	AT5G42960	OG0004199	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G006700	AT1G32230	OG0001640	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G006700	AT2G35510	OG0001640	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007000	AT5G47760	OG0012992	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007200	AT1G32330	OG0000743	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007200	AT3G02990	OG0000743	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007200	AT4G17750	OG0000743	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007200	AT5G16820	OG0000743	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007300	AT1G24450	OG0008927	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007400	AT5G46840	OG0009508	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007500	AT3G46210	OG0011729	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007600	AT4G17890	OG0002336	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007600	AT5G46750	OG0002336	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007700	AT3G02910	OG0004288	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007700	AT5G46720	OG0004288	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007800	AT4G28450	OG0007806	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G007900	AT2G44510	OG0011900	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008000	AT4G20090	OG0010825	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008100	AT2G35790	OG0007390	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008200	AT5G08550	OG0008620	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008200	AT5G09210	OG0008620	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008300	AT3G45900	OG0011690	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008400	AT1G31880	OG0001782	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008400	AT2G21030	OG0001782	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008400	AT2G35600	OG0001782	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008500	AT1G61010	OG0006172	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008600	AT3G03520	OG0004816	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008600	AT3G03530	OG0004816	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008600	AT3G03540	OG0004816	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008700	AT1G73940	OG0013766	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008800	AT3G45230	OG0003916	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G008800	AT5G60630	OG0003916	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009100	AT1G07980	OG0008926	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009200	AT4G04860	OG0005197	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009200	AT4G21810	OG0005197	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009300	AT1G03510	OG0012378	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009500	AT5G65660	OG0004339	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009600	AT2G25530	OG0013834	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009700	AT5G02560	OG0000498	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009700	AT5G27670	OG0000498	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009700	AT5G59870	OG0000498	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009800	AT3G27090	OG0004404	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G009900	AT5G48840	OG0013105	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010100	AT2G17390	OG0002479	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010100	AT4G35450	OG0002479	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010200	AT1G17030	OG0002119	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010200	AT2G47010	OG0002119	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010300	AT5G50970	OG0008144	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010400	AT5G47870	OG0005501	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010500	AT4G00650	OG0002066	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010600	AT1G09760	OG0007651	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010700	AT5G09900	OG0003273	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010700	AT5G64760	OG0003273	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010800	AT3G59980	OG0011648	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G010900	AT3G54900	OG0007191	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011000	AT4G02930	OG0005169	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011200	AT1G17880	OG0002707	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011200	AT1G73230	OG0002707	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011300	AT3G23760	OG0001323	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011300	AT4G14100	OG0001323	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011400	AT1G01630	OG0003749	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011500	AT1G28140	OG0010060	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011600	AT3G02020	OG0001800	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011600	AT5G13280	OG0001800	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011600	AT5G14060	OG0001800	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011700	AT3G48800	OG0002548	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011700	AT5G23680	OG0002548	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT1G13080	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT1G13090	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT1G13100	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT1G13110	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT2G02580	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26150	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26160	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26170	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26180	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26190	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26200	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26210	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26290	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26300	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26310	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26320	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26330	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G26830	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G44250	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G53280	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G53290	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G53300	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT3G53305	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT4G13770	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT4G31500	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT5G35715	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G011900	AT5G57260	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012000	AT3G01980	OG0011063	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT1G13080	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT1G13090	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT1G13100	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT1G13110	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT2G02580	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26150	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26160	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26170	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26180	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26190	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26200	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26210	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26290	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26300	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26310	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26320	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26330	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G26830	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G44250	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G53280	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G53290	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G53300	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT3G53305	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT4G13770	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT4G31500	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT5G35715	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012100	AT5G57260	OG0000008	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012200	AT2G22330	OG0000995	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012200	AT4G39950	OG0000995	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012200	AT5G05260	OG0000995	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012200	AT5G35917	OG0000995	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012400	AT3G62760	OG0000961	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012500	AT1G11670	OG0000476	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012500	AT1G61890	OG0000476	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012500	AT3G21690	OG0000476	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012800	AT4G24840	OG0006070	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G012900	AT3G25070	OG0004317	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G013000	AT3G07190	OG0005441	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G013000	AT5G48660	OG0005441	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G013100	AT4G14147	OG0012435	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G013200	AT1G60560	OG0012839	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G013300	AT1G61000	OG0003560	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G013400	AT1G54250	OG0005005	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G013400	AT3G59600	OG0005005	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G013700	AT3G07130	OG0008002	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G013900	AT1G27380	OG0001986	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G013900	AT5G16490	OG0001986	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G014000	AT5G43490	OG0002050	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G014000	AT5G48610	OG0002050	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G014100	AT4G13020	OG0011914	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G014300	AT1G54250	OG0005005	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G014300	AT3G59600	OG0005005	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G014500	AT3G04830	OG0005861	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
SbiRTX430.01G014500	AT5G28220	OG0005861	Sorghum bicolor	Arabidopsis thaliana	GSE297576_author_JGI_10sp_orthogroup
